time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate
226,840,93,190464,-0.012509631813736632,0.79897404,0.185986328125,920,-0.04971088469028473,0.2,0.036132127,0.014586798357777297,-0.5627454880625009,0.0003
229,840,94,192512,-0.022800065313640518,0.9377913,0.247509765625,930,-0.005828490946441889,0.2,0.030388566,0.010280771537509281,-0.6053136431612074,0.0003
231,839,95,194560,-0.011926544830203056,0.9816235,0.222216796875,940,-0.05766548961400986,0.2,0.019252855,0.004782541551685426,-0.8205034803599119,0.0003
233,840,96,196608,-0.02415174784400733,0.9476169,0.245068359375,950,-0.036467138677835464,0.2,0.040638752,0.005946257108007558,-0.7270694581791759,0.0003
236,840,97,198656,-0.013131952199910302,0.9538996,0.20751953125,960,-0.029621534049510956,0.2,0.022837162,0.007112393069837708,-0.626810640655458,0.0003
238,840,98,200704,-0.023418063926510514,0.976717,0.2080078125,970,-0.06289137154817581,0.2,0.019006107,0.005700843804515898,-0.8007884919643402,0.0003
241,840,99,202752,-0.007927643982111477,0.9599477,0.2072265625,980,0.012084906920790672,0.2,0.04679458,0.009192935161991045,-0.5920284643769265,0.0003
243,840,100,204800,-0.004292777032242156,0.9348802,0.168603515625,990,-0.030999939888715744,0.2,0.020522345,0.007726541737793013,-0.661440497264266,0.0003
246,840,101,206848,-0.022028250052244402,0.79809827,0.205029296875,1000,-0.013607207685709,0.2,0.03106548,0.012570722782402299,-0.5240609092637897,0.0003
248,839,102,208896,-0.013759348237363156,0.9616305,0.183837890625,1010,-0.035411033779382706,0.2,0.025988441,0.009970649948809297,-0.645797822624445,0.0003
251,840,103,210944,-0.018951885426940863,0.95170784,0.215576171875,1020,-0.028739430010318756,0.2,0.037562333,0.008278924955811817,-0.593057900108397,0.0003
253,839,104,212992,-0.009314384557364974,0.96501786,0.19560546875,1030,-0.03947308287024498,0.2,0.025960553,0.004618161445250735,-0.7754957713186741,0.0003
256,839,105,215040,-0.006114728243846912,0.9564406,0.172705078125,1040,-0.039096396416425705,0.2,0.017307505,0.005785702263528947,-0.7186321018263697,0.0003
258,839,106,217088,-0.01007989505014848,0.8555457,0.291259765625,1050,-0.07039767503738403,0.2,0.089933656,0.0121603554522153,-0.5495716323144734,0.0003
